АНАЛИЗ РИСКОВ ПРИ ИСПОЛЬЗОВАНИИ ТЕХНОЛОГИЙ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В НЕФТЕГАЗОДОБЫВАЮЩЕМ КОМПЛЕКСЕ;Дмитриевский А.Н., Еремин Н.А., Ложников П.С., Клиновенко С.А., Столяров В.Е., Иниватов Д.П.;;https://www.elibrary.ru//item.asp?id=46318146;-
"МОДЕЛЬ ПРЕОБРАЗОВАТЕЛЯ ""БИОМЕТРИЯ-КОД"" НА ОСНОВЕ ИСКУССТВЕННЫХ НЕЙРОННЫХ СЕТЕЙ ДЛЯ АНАЛИЗА ТЕРМОГРАММ ЛИЦА СУБЪЕКТОВ";Ложников П.С., Жумажанова С.С.;;https://www.elibrary.ru//item.asp?id=46295372;-
ПРОГРАММНЫЙ МОДУЛЬ ДЛЯ ОЦЕНКИ ПОРОГОВЫХ ХАРАКТЕРИСТИК РЕМОДЕЛИРОВАНИЯ СЕРДЦА ПРИ АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИИ У ЛИЦ МОЛОДОГО ВОЗРАСТА С НЕДИФФЕРЕНЦИРОВАННОЙ ДИСПЛАЗИЕЙ СОЕДИНИТЕЛЬНОЙ ТКАНИ;Шупина М.И., Терещенко Ю.В., Ложников П.С., Лаштаба Р.А.;;https://www.elibrary.ru//item.asp?id=43889163;-
ИССЛЕДОВАНИЕ И АДАПТАЦИЯ РЕПУТАЦИОННЫХ МОДЕЛЕЙ ДЛЯ ДИНАМИЧЕСКИ ОРГАНИЗУЕМЫХ ТЕЛЕКОММУНИКАЦИОННЫХ СЕТЕЙ;Ложников П.С.;;https://www.elibrary.ru//item.asp?id=50707400;-
РАСПОЗНАВАНИЕ ДИНАМИЧЕСКОЙ РУКОПИСНОЙ ПОДПИСИ ЧЕЛОВЕКА НА БАЗЕ МЕТОДОВ ТЕОРИИ НЕЧЁТКИХ МНОЖЕСТВ;Анисимова Э.С.;;https://www.elibrary.ru//item.asp?id=54471221;-
ANALYSIS OF THE IMPACT OF THREATS TO CHANGE AND BLOCK RESPONSES OF EXPERTS IN ONLINE SURVEY SYSTEMS;Efimov B.I., Lozhnikov P.S.;;https://www.elibrary.ru//item.asp?id=43305712;-
POSSIBILITY OF DECREASE IN A LEVEL OF DATA CORRELATION DURING PROCESSING SMALL SAMPLES USING NEURAL NETWORKS BY GENERATING NEW STATISTIC TESTS;Ivanov A.I., Bannykh A.G., Lozhnikov P.S., Sulavko A.E., Inivatov D.P.;;https://www.elibrary.ru//item.asp?id=43293312;-
ФОРМИРОВАНИЕ ОТКРЫТОГО НАБОРА ДАННЫХ ИЗМЕРЯЕМЫХ ПОКАЗАТЕЛЕЙ САЙТОВ УНИВЕРСИТЕТОВ ДЛЯ ИССЛЕДОВАНИЯ ИХ ИНФОРМАТИВНОСТИ И ФУНКЦИОНАЛЬНОСТИ;Ложников П.С., Саргин В.А., Швиндт А.Н.;;https://www.elibrary.ru//item.asp?id=48027162;-
ОПТИМИЗАЦИЯ ИСКУССТВЕННЫХ НЕЙРОННЫХ СЕТЕЙ В ЗАДАЧАХ ОБРАБОТКИ ГРАФИЧЕСКОЙ ИНФОРМАЦИИ ДЛЯ ИДЕНТИФИКАЦИИ ПСИХОФИЗИОЛОГИЧЕСКИХ СОСТОЯНИЙ СУБЪЕКТА;Жумажанова С.С., Сулавко А.Е., Ложников П.С.;;https://www.elibrary.ru//item.asp?id=44012853;-
EVALUATION OF EEG IDENTIFICATION POTENTIAL USING STATISTICAL APPROACH AND CONVOLUTIONAL NEURAL NETWORKS;Sulavko A.E., Lozhnikov P.S., Choban A.G., Stadnikov D.G., Nigrey A.A., Inivatov D.P.;;https://www.elibrary.ru//item.asp?id=44359259;-
